,index,batch,lr,train_loss,train_acc,train_mean_iou,val_loss,val_acc,val_mean_iou,test_loss,test_acc,test_mean_iou
0,0,4,0.01,0.23092226684093475,0.9023879170417786,0.774418830871582,0.23512525856494904,0.9064405560493469,0.7889787554740906,0.26124945282936096,0.8914383053779602,0.7638828158378601
1,1,4,0.05,0.4553423225879669,0.8491180539131165,0.6649032235145569,0.377729594707489,0.8667295575141907,0.7111794948577881,0.4111826419830322,0.8626797795295715,0.6995716094970703
2,2,4,0.001,0.15484663844108582,0.9357913136482239,0.8430884480476379,0.22302861511707306,0.9094179272651672,0.7965211272239685,0.23700450360774994,0.9042587280273438,0.7894325852394104
3,3,4,0.005,0.21543194353580475,0.9131132364273071,0.793864905834198,0.25177818536758423,0.9079387784004211,0.7917947173118591,0.2604338824748993,0.899334728717804,0.7711625695228577
4,4,4,0.0001,0.16116958856582642,0.9345605969429016,0.8407931327819824,0.23671703040599823,0.9064839482307434,0.7895410656929016,0.2790096402168274,0.8976240754127502,0.7726637721061707
5,5,4,0.0005,0.16891460120677948,0.9303188920021057,0.8301044702529907,0.23021088540554047,0.9103853702545166,0.7962835431098938,0.2502393424510956,0.9040889739990234,0.7843334078788757
6,6,4,1e-05,0.2310037612915039,0.9061693549156189,0.7777056097984314,0.27262330055236816,0.8935747742652893,0.7605685591697693,0.3113987445831299,0.8858144879341125,0.748101532459259
7,7,4,5e-05,0.19463308155536652,0.923419177532196,0.8153544068336487,0.26234692335128784,0.9005123376846313,0.775744616985321,0.2610846757888794,0.8970329165458679,0.7661270499229431
8,8,4,1e-06,0.3966844975948334,0.855394184589386,0.6808234453201294,0.40205052495002747,0.8518738150596619,0.681947648525238,0.4481150507926941,0.8452491760253906,0.671652615070343
9,9,4,5e-06,0.25287410616874695,0.9011269807815552,0.7670084238052368,0.3061475455760956,0.8816810846328735,0.7399773597717285,0.32780054211616516,0.8812045454978943,0.7353461384773254
10,10,8,0.01,0.22591657936573029,0.9057863354682922,0.7820290327072144,0.24015934765338898,0.9041553735733032,0.781363308429718,0.26165467500686646,0.8966197371482849,0.7713658809661865
11,11,8,0.05,1.3934940099716187,0.7330093383789062,0.5003407597541809,0.6507061719894409,0.8276367783546448,0.6338423490524292,1.048712968826294,0.8245341181755066,0.6288004517555237
12,12,8,0.001,0.15453974902629852,0.9355245232582092,0.844882071018219,0.25366318225860596,0.9049966931343079,0.7856235504150391,0.27516818046569824,0.8970741629600525,0.7749775052070618
13,13,8,0.005,0.20777714252471924,0.909770667552948,0.7875798940658569,0.25860512256622314,0.9079009294509888,0.7902193665504456,0.26282137632369995,0.901057779788971,0.7781407833099365
14,14,8,0.0001,0.17334328591823578,0.9288094639778137,0.8281112313270569,0.25625738501548767,0.9028289914131165,0.7785667777061462,0.2759867310523987,0.9020844101905823,0.7812739014625549
15,15,8,0.0005,0.18479639291763306,0.9227185845375061,0.8149648308753967,0.22485360503196716,0.9113029837608337,0.795503556728363,0.24005043506622314,0.9081018567085266,0.7898063063621521
16,16,8,1e-05,0.2580620348453522,0.8946866989135742,0.7537223100662231,0.29754894971847534,0.8846122026443481,0.7411245703697205,0.32192015647888184,0.878896951675415,0.7352287769317627
17,17,8,5e-05,0.21129360795021057,0.9145576357841492,0.7975165843963623,0.2677115499973297,0.8987025618553162,0.767946183681488,0.2800742983818054,0.8956664800643921,0.7658157348632812
18,18,8,1e-06,0.4717351496219635,0.8352004885673523,0.6432393193244934,0.45809727907180786,0.8381925821304321,0.6525667309761047,0.498747855424881,0.8332061171531677,0.6479604840278625
19,19,8,5e-06,0.29189664125442505,0.8820263743400574,0.7298873066902161,0.3079545497894287,0.8800279498100281,0.7313745617866516,0.33692681789398193,0.8756664991378784,0.7253038883209229
20,20,12,0.01,0.2609623074531555,0.8909943699836731,0.7514352202415466,0.27146607637405396,0.8963345289230347,0.7652415633201599,0.2858976423740387,0.8887523412704468,0.7587868571281433
21,21,12,0.05,1.1830649375915527,0.7102250456809998,0.45749565958976746,0.7611362338066101,0.8176655769348145,0.6104748249053955,0.8313596844673157,0.8189257979393005,0.6101354360580444
22,22,12,0.001,0.16525639593601227,0.9315252304077148,0.8336241245269775,0.23459085822105408,0.9113441109657288,0.7947966456413269,0.24103163182735443,0.9103116393089294,0.7980599403381348
